ts,open,close,session
1697788800,174.95,175.06,pre
1697792400,175.08,174.72,pre
1697796000,174.73,174.68,pre
1697799600,174.77,174.99,pre
1697803200,174.99,174.66,pre
1697806800,174.7,174.75,pre
1697808600,175.31,174.24,regular
1697812200,174.24,172.8699,regular
1697815800,172.88,173.56,regular
1697819400,173.57,174.18,regular
1697823000,174.185,173.58,regular
1697826600,173.56,173.38,regular
1697830200,173.37,172.84,regular
1697832000,172.84,172.95,post
1697835600,172.9406,172.865,post
1697839200,172.86,172.71,post
1697842800,172.75,172.78,post
1698048000,172.78,171.79,pre
1698051600,171.75,170.63,pre
1698055200,170.64,170.37,pre
1698058800,170.4,170.96,pre
1698062400,170.96,171.26,pre
1698066000,171.335,170.85,pre
1698067800,171.59,171.59,regular
1698071400,171.59,172.81,regular
1698075000,172.81,172.84,regular
1698078600,172.86,173.31,regular
1698082200,173.31,173.38,regular
1698085800,173.39,173.133,regular
1698089400,173.145,172.96,regular
1698091200,173.12,173.025,post
1698094800,173.01,172.95,post
1698098400,172.86,172.875,post
1698102000,172.875,173.165,post
1698134400,173.0,173.35,pre
1698138000,173.31,173.54,pre
1698141600,173.5,173.36,pre
1698145200,173.34,173.42,pre
1698148800,173.43,173.36,pre
1698152400,173.34,173.24,pre
1698154200,173.05,172.83,regular
1698157800,172.8249,172.305,regular
1698161400,172.31,172.08,regular
1698165000,172.1,172.19,regular
1698168600,172.1999,172.76,regular
1698172200,172.75,173.585,regular
1698175800,173.585,173.39,regular
1698177600,173.39,173.3,post
1698181200,173.265,173.04,post
1698184800,173.04,173.18,post
1698188400,173.02,172.9,post
1698220800,173.5,172.63,pre
1698224400,172.63,172.51,pre
1698228000,172.52,172.51,pre
1698231600,172.62,172.79,pre
1698235200,172.84,172.54,pre
1698238800,172.54,172.09,pre
1698240600,171.88,172.13,regular
1698244200,172.13,172.445,regular
1698247800,172.445,171.765,regular
1698251400,171.76,171.145,regular
1698255000,171.14,171.42,regular
1698258600,171.43,171.175,regular
1698262200,171.1778,171.09,regular
1698264000,171.09,170.49,post
1698267600,170.5,170.4,post
1698271200,170.36,169.77,post
1698274800,169.77,169.4,post
1698307200,168.13,169.09,pre
1698310800,169.16,169.5,pre
1698314400,169.48,169.75,pre
1698318000,169.75,169.48,pre
1698321600,169.47,169.86,pre
1698325200,169.97,170.4497,pre
1698327000,170.37,168.66,regular
1698330600,168.65,166.9496,regular
1698334200,166.945,166.2974,regular
1698337800,166.29,165.95,regular
1698341400,165.95,167.18,regular
1698345000,167.17,167.3143,regular
1698348600,167.31,166.76,regular
1698350400,166.76,166.68,post
1698354000,166.69,166.32,post
1698357600,166.28,166.47,post
1698361200,166.47,167.25,post
1698393600,167.25,167.29,pre
1698397200,167.29,167.3,pre
1698400800,167.33,167.38,pre
1698404400,167.34,166.6,pre
1698408000,166.62,166.6,pre
1698411600,166.6,167.2067,pre
1698413400,166.91,168.16,regular
1698417000,168.16,168.735,regular
1698420600,168.75,167.76,regular
1698424200,167.77,167.19,regular
1698427800,167.18,167.695,regular
1698431400,167.7,167.99,regular
1698435000,167.99,168.285,regular
1698436800,168.29,167.805,post
1698440400,167.86,167.99,post
1698444000,167.99,167.985,post
1698447600,168.0,168.0199,post
1698652800,168.02,168.8,pre
1698656400,168.8,169.16,pre
1698660000,169.25,169.0,pre
1698663600,169.01,169.1,pre
1698667200,169.13,168.705,pre
1698670800,168.705,168.54,pre
1698672600,169.02,169.375,regular
1698676200,169.3799,169.67,regular
1698679800,169.67,169.4661,regular
1698683400,169.465,169.9199,regular
1698687000,169.92,170.36,regular
1698690600,170.35,169.855,regular
1698694200,169.85,170.24,regular
1698696000,170.23,169.96,post
1698699600,169.945,169.92,post
1698703200,169.9,169.87,post
1698706800,169.88,169.7,post
1698739200,169.6,169.54,pre
1698742800,169.5,169.61,pre
1698746400,169.63,169.97,pre
1698750000,169.97,169.73,pre
1698753600,169.71,170.08,pre
1698757200,170.03,168.67,pre
1698759000,169.35,169.13,regular
1698762600,169.15,169.23,regular
1698766200,169.23,169.55,regular
1698769800,169.55,170.282,regular
1698773400,170.29,169.96,regular
1698777000,169.94,170.645,regular
1698780600,170.64,170.79,regular
1698782400,170.77,170.23,post
1698786000,170.23,170.36,post
1698789600,170.36,170.35,post
1698793200,170.39,170.38,post
1698825600,170.49,170.2,pre
1698829200,170.19,169.95,pre
1698832800,170.0,169.92,pre
1698836400,169.98,169.86,pre
1698840000,169.83,169.9,pre
1698843600,169.9,170.59,pre
1698845400,171.0,171.83,regular
1698849000,171.83,171.43,regular
1698852600,171.43,171.9,regular
1698856200,171.91,172.162,regular
1698859800,172.16,172.61,regular
1698863400,172.625,173.91,regular
1698867000,173.91,173.92,regular
1698868800,173.91,174.29,post
1698872400,174.265,174.405,post
1698876000,174.41,174.7,post
1698879600,174.7,174.74,post
1698912000,174.7,175.16,pre
1698915600,175.16,175.48,pre
