ts,open,close,session
1697788800,34.899,35.2,pre
1697792400,35.2,35.601,pre
1697796000,35.529,35.45,pre
1697799600,35.528,35.897,pre
1697803200,35.897,35.233,pre
1697806800,35.3,35.136,pre
1697808600,35.365,35.078,regular
1697812200,35.056,35.0675,regular
1697815800,35.076,35.2617,regular
1697819400,35.354,34.8457,regular
1697823000,34.896,34.658,regular
1697826600,34.659,34.464,regular
1697830200,34.4695,34.84,regular
1697832000,34.804,34.806,post
1697835600,34.8,34.86,post
1697839200,34.881,34.983,post
1697842800,34.974,35.099,post
1698048000,36.8,35.987,pre
1698051600,36.0,35.8,pre
1698055200,35.7,35.561,pre
1698058800,35.549,35.797,pre
1698062400,35.789,36.047,pre
1698066000,36.069,35.9,pre
1698067800,35.535,35.9222,regular
1698071400,36.03,36.87,regular
1698075000,36.863,36.927,regular
1698078600,36.916,37.7585,regular
1698082200,37.71,37.834,regular
1698085800,37.8,37.823,regular
1698089400,37.831,37.781,regular
1698091200,37.749,38.26,post
1698094800,38.2,38.174,post
1698098400,38.179,40.1,post
1698102000,39.304,40.2,post
1698134400,40.429,41.36,pre
1698138000,41.349,41.49,pre
1698141600,41.49,41.21,pre
1698145200,41.252,41.3,pre
1698148800,41.22,40.98,pre
1698152400,40.98,40.873,pre
1698154200,40.839,42.4785,regular
1698157800,42.524,41.28,regular
1698161400,41.278,42.0,regular
1698165000,42.053,42.553,regular
1698168600,42.537,42.136,regular
1698172200,42.147,42.4265,regular
1698175800,42.429,42.513,regular
1698177600,42.487,42.487,post
1698181200,42.403,43.244,post
1698184800,43.147,43.075,post
1698188400,43.075,42.967,post
1698220800,42.4,42.4,pre
1698224400,42.499,42.695,pre
1698228000,42.515,42.514,pre
1698231600,42.667,42.8,pre
1698235200,42.8,43.0888,pre
1698238800,43.1,43.22,pre
1698240600,43.479,43.246,regular
1698244200,43.203,44.185,regular
1698247800,44.144,44.066,regular
1698251400,44.06,43.6,regular
1698255000,43.66,43.3,regular
1698258600,43.294,42.8865,regular
1698262200,42.93,43.301,regular
1698264000,43.2995,43.4,post
1698267600,43.103,42.8,post
1698271200,42.8,42.788,post
1698274800,42.788,42.722,post
1698307200,43.0,42.799,pre
1698310800,42.763,42.518,pre
1698314400,42.431,42.4,pre
1698318000,42.4,42.3,pre
1698321600,42.399,42.2,pre
1698325200,42.29,42.65,pre
1698327000,42.0,41.9885,regular
1698330600,42.125,41.383,regular
1698334200,41.34,41.977,regular
1698337800,41.9995,41.019,regular
1698341400,41.1124,41.8385,regular
1698345000,41.877,41.89,regular
1698348600,41.85,41.314,regular
1698350400,41.345,41.5,post
1698354000,41.5,41.35,post
1698357600,41.55,41.52,post
1698361200,41.7,41.864,post
1698393600,41.5,41.7,pre
1698397200,41.757,41.9,pre
1698400800,41.897,41.995,pre
1698404400,41.95,41.8,pre
1698408000,41.732,41.75,pre
1698411600,41.72,41.987,pre
1698413400,42.0,40.66,regular
1698417000,40.66,41.359,regular
1698420600,41.307,41.669,regular
1698424200,41.547,40.499,regular
1698427800,40.4,39.9055,regular
1698431400,39.945,40.557,regular
1698435000,40.527,40.705,regular
1698436800,40.676,40.95,post
1698440400,40.9,40.9,post
1698444000,41.0,41.05,post
1698447600,40.897,40.817,post
1698652800,42.0,41.6,pre
1698656400,41.577,42.0,pre
1698660000,42.093,42.0,pre
1698663600,42.177,41.688,pre
1698667200,41.582,42.289,pre
1698670800,42.435,42.0167,pre
1698672600,42.3,42.783,regular
1698676200,42.753,42.485,regular
1698679800,42.5915,42.118,regular
1698683400,42.0837,41.4065,regular
1698687000,41.4065,41.3185,regular
1698690600,41.368,41.845,regular
1698694200,41.842,42.023,regular
1698696000,42.022,41.7106,post
1698699600,41.862,42.1976,post
1698703200,42.15,42.174,post
1698706800,42.007,42.036,post
1698739200,42.2,41.995,pre
1698742800,41.72,42.17,pre
1698750000,42.0,42.094,pre
1698753600,42.173,42.0,pre
1698757200,41.976,41.748,pre
1698759000,41.65,41.5946,regular
1698762600,41.697,41.614,regular
1698766200,41.73,41.876,regular
1698769800,42.025,42.271,regular
1698773400,42.317,41.736,regular
1698777000,41.726,42.139,regular
1698780600,42.1,42.346,regular
1698782400,42.339,42.44,post
1698786000,42.35,42.172,post
1698789600,42.298,42.29,post
1698793200,42.19,42.289,post
1698825600,42.022,42.152,pre
1698829200,42.022,42.183,pre
1698832800,42.105,42.0,pre
1698836400,42.0,42.0,pre
1698840000,42.0,41.992,pre
1698843600,41.992,42.779,pre
1698845400,42.962,42.0877,regular
1698849000,41.99,41.7355,regular
1698852600,41.683,41.7665,regular
1698856200,41.838,41.6995,regular
1698859800,41.69,42.17,regular
1698863400,42.169,42.597,regular
1698867000,42.589,42.6405,regular
1698868800,42.667,43.5,post
1698872400,43.525,43.775,post
1698876000,43.7,43.58,post
1698879600,43.503,43.79,post
1698912000,43.0,43.55,pre
1698915600,43.877,43.7,pre
1698919200,43.88,43.6,pre
1698922800,43.693,43.519,pre
1698926400,43.519,43.5,pre
1698930000,43.65,43.24,pre
1698931800,44.048,43.8,regular
1698935400,43.628,43.653,regular
1698939000,43.59,42.947,regular
1698942600,42.9,43.5795,regular
1698946200,43.592,44.416,regular
1698949800,44.439,44.8555,regular
1698953400,44.831,45.4,regular
1698955200,45.363,45.09,post
1698958800,45.03,44.8545,post
1698962400,45.018,44.974,post
1698966000,44.9,45.0,post
1698998400,44.0,44.5,pre
1699002000,44.503,44.142,pre
1699005600,44.333,44.072,pre
1699009200,44.007,44.0,pre
1699012800,44.038,44.249,pre
1699016400,44.249,44.4,pre
1699018200,44.498,44.871,regular
1699021800,44.8946,46.15,regular
1699025400,46.0855,45.9425,regular
1699029000,45.997,45.653,regular
1699032600,45.672,45.815,regular
1699036200,45.815,45.3265,regular
1699039800,45.318,45.46,regular
1699041600,45.395,45.5,post
1699045200,45.575,45.407,post
1699048800,45.598,45.3995,post
1699052400,45.5,45.6,post
1699261200,46.0,46.01,pre
1699264800,45.977,46.2,pre
1699268400,46.15,46.3,pre
1699272000,46.294,46.6,pre
1699275600,46.533,46.0,pre
1699279200,46.112,46.21,pre
1699281000,46.102,46.564,regular
1699284600,46.707,46.245,regular
1699288200,46.243,45.703,regular
1699291800,45.6,45.191,regular
1699295400,45.271,45.71,regular
1699299000,45.704,45.9875,regular
1699302600,45.997,45.896,regular
1699304400,45.963,46.1,post
1699308000,46.036,46.19,post
1699311600,46.19,46.15,post
1699347600,45.817,45.581,pre
1699351200,45.583,45.4,pre
1699354800,45.301,45.498,pre
1699358400,45.462,45.48,pre
1699362000,45.48,45.48,pre
1699365600,45.4,45.771,pre
1699367400,45.4,45.8155,regular
1699371000,45.799,45.91,regular
1699374600,45.946,45.6045,regular
1699378200,45.5705,46.422,regular
1699381800,46.435,46.716,regular
1699385400,46.7,46.767,regular
1699389000,46.744,47.36,regular
1699390800,47.355,47.194,post
1699394400,47.325,47.298,post
1699398000,47.244,47.219,post
1699434000,47.175,47.326,pre
1699437600,47.326,47.095,pre
1699441200,47.09,47.199,pre
1699444800,47.177,47.138,pre
1699448400,47.147,46.9,pre
1699452000,46.774,47.047,pre
1699453800,46.908,45.923,regular
1699457400,45.934,46.4525,regular
1699461000,46.398,46.588,regular
1699464600,46.567,46.903,regular
1699468200,46.93,47.56,regular
1699471800,47.54,47.634,regular
1699475400,47.634,47.437,regular
1699477200,47.45,47.25,post
1699480800,47.244,47.46,post
1699484400,47.4,47.48,post
1699520400,49.772,49.27,pre
1699524000,49.194,49.7,pre
1699527600,49.8,49.5,pre
1699531200,49.501,49.741,pre
1699534800,49.749,49.45,pre
1699538400,49.3515,50.195,pre
1699540200,49.829,52.0,regular
1699543800,51.993,50.672,regular
1699547400,50.605,50.193,regular
1699551000,50.209,50.435,regular
1699554600,50.416,49.733,regular
1699558200,49.794,48.818,regular
1699561800,48.862,49.5,regular
1699563600,49.407,49.5,post
1699567200,49.521,49.596,post
1699570800,49.6,49.794,post
1699606800,50.027,49.948,pre
1699610400,49.878,49.986,pre
1699614000,50.17,50.279,pre
1699617600,50.469,50.052,pre
1699621200,50.1,50.595,pre
1699624800,50.7,50.194,pre
1699626600,50.4,50.531,regular
1699630200,50.509,51.019,regular
1699633800,51.042,50.425,regular
1699637400,50.433,50.699,regular
1699641000,50.7105,51.1255,regular
1699644600,51.1664,50.947,regular
1699648200,50.93,50.865,regular
1699650000,50.918,51.05,post
1699653600,51.099,51.1,post
1699657200,51.375,51.214,post
1699866000,50.6,50.4,pre
1699869600,50.4,50.68,pre
1699873200,50.68,50.505,pre
1699876800,50.311,50.158,pre
1699880400,50.158,50.23,pre
1699884000,50.346,50.44,pre
1699885800,50.2,49.9883,regular
1699889400,50.0395,50.558,regular
1699893000,50.5704,49.9825,regular
1699896600,49.979,49.687,regular
1699900200,49.603,49.8095,regular
1699903800,49.751,49.663,regular
1699907400,49.6832,50.398,regular
1699909200,50.488,49.8,post
1699912800,49.92,49.999,post
1699916400,49.988,49.999,post
1699952400,50.4,49.826,pre
1699956000,50.198,50.039,pre
1699959600,50.0,49.982,pre
1699963200,49.8,49.75,pre
1699966800,49.64,49.74,pre
1699970400,49.74,50.649,pre
1699972200,50.0,49.0685,regular
1699975800,48.98,48.8522,regular
1699979400,48.761,47.969,regular
1699983000,47.9825,47.0451,regular
1699986600,47.048,46.651,regular
1699990200,46.688,47.421,regular
1699993800,47.41,48.0,regular
1699995600,48.0,47.999,post
1699999200,47.964,47.815,post
1700002800,47.924,48.1,post
1700038800,48.247,48.8,pre
1700042400,48.8,48.743,pre
1700046000,48.725,49.2,pre
1700049600,49.174,49.2,pre
1700053200,49.2,48.783,pre
1700056800,48.8,48.661,pre
1700058600,48.634,49.389,regular
1700062200,49.3819,49.147,regular
1700065800,49.0493,49.0845,regular
1700069400,49.0853,50.0,regular
1700073000,50.034,50.5045,regular
1700076600,50.456,50.619,regular
1700080200,50.553,50.5,regular
1700082000,50.595,50.5,post
1700085600,50.5,51.089,post
1700089200,51.0,51.275,post
1700125200,51.001,50.75,pre
1700128800,50.751,50.731,pre
1700132400,50.401,50.711,pre
1700136000,50.731,49.872,pre
1700139600,49.832,49.7,pre
1700143200,49.6,49.471,pre
1700145000,49.4,50.093,regular
1700148600,50.132,49.485,regular
1700152200,49.519,49.9415,regular
1700155800,49.9249,49.2555,regular
1700159400,49.221,48.496,regular
1700163000,48.5135,48.681,regular
1700166600,48.6,48.944,regular
1700168400,48.908,48.76,post
1700172000,48.98,48.981,post
1700175600,48.905,48.909,post
1700211600,49.267,49.445,pre
1700215200,49.201,49.153,pre
1700218800,49.211,49.5,pre
1700222400,49.488,49.399,pre
1700226000,49.379,49.7239,pre
1700229600,49.4,49.213,pre
1700231400,49.265,48.815,regular
1700235000,48.895,48.795,regular
1700238600,48.753,49.2265,regular
1700242200,49.2187,49.1758,regular
1700245800,49.111,49.2623,regular
1700249400,49.215,49.0,regular
1700253000,49.015,48.621,regular
1700254800,48.622,48.5,post
1700258400,48.599,48.65,post
1700262000,48.65,48.9,post
1700470800,49.2,49.8,pre
1700474400,49.8,49.67,pre
1700478000,49.7,49.838,pre
1700481600,49.708,49.3,pre
1700485200,49.3,49.41,pre
1700488800,49.5,48.805,pre
1700490600,49.201,50.6272,regular
1700494200,50.625,50.7,regular
1700497800,50.657,50.035,regular
1700501400,49.93,50.991,regular
1700505000,50.994,51.0,regular
1700508600,51.0205,51.0475,regular
1700512200,51.0167,50.808,regular
1700514000,50.853,50.755,post
1700517600,50.7,50.706,post
1700521200,50.769,50.755,post
1700557200,50.769,50.422,pre
1700560800,50.45,50.684,pre
1700564400,50.684,50.438,pre
1700568000,50.438,50.53,pre
1700571600,50.5,50.4,pre
1700575200,50.23,49.74,pre
1700577000,49.799,48.764,regular
1700580600,48.764,49.6566,regular
1700584200,49.6,50.17,regular
1700587800,50.1655,49.6,regular
1700591400,49.6,49.9081,regular
1700595000,49.8494,49.6196,regular
1700598600,49.671,49.31,regular
1700600400,49.304,49.171,post
1700604000,49.205,48.752,post
1700607600,48.8,48.088,post
1700643600,49.423,49.1,pre
1700647200,49.0,49.39,pre
1700650800,49.311,49.3,pre
1700654400,49.299,49.2,pre
1700658000,49.25,49.3,pre
1700661600,49.355,49.52,pre
1700663400,49.4,48.8457,regular
1700667000,48.8725,49.0345,regular
1700670600,49.129,49.232,regular
1700674200,49.1805,49.874,regular
1700677800,49.873,50.1952,regular
1700681400,50.173,50.3225,regular
1700685000,50.37,50.76,regular
1700686800,50.788,50.799,post
1700690400,50.7,50.551,post
1700694000,50.589,50.67,post
1700816400,50.999,50.796,pre
1700820000,50.7,51.162,pre
1700823600,51.199,51.397,pre
1700827200,51.397,51.4,pre
1700830800,51.47,51.288,pre
1700834400,51.19,51.2,pre
1700836200,51.0,52.399,regular
1700839800,52.3886,52.403,regular
1700843400,52.391,51.6305,regular
1700848800,51.537,51.9,regular
1700852400,51.746,51.898,regular
1700856000,51.898,51.989,regular
1700859600,52.0,52.0,post
1701075600,51.7,51.65,pre
1701079200,51.597,51.201,pre
1701082800,51.201,51.049,pre
1701086400,50.826,51.01,pre
1701090000,51.1,50.75,pre
1701093600,50.874,50.6104,pre
1701095400,50.575,50.967,regular
1701099000,51.08,51.0205,regular
1701102600,51.1311,51.314,regular
1701106200,51.4065,51.0142,regular
1701109800,51.0478,50.767,regular
1701113400,50.751,50.154,regular
1701117000,50.174,49.53,regular
1701118800,49.538,49.897,post
1701122400,49.897,49.89,post
1701126000,49.89,50.0,post
1701162000,49.945,49.945,pre
1701165600,50.05,50.177,pre
1701169200,50.4,50.2,pre
1701172800,50.198,50.268,pre
1701176400,50.25,50.2,pre
1701180000,50.275,50.52,pre
1701181800,50.512,50.07,regular
1701185400,50.0,50.311,regular
1701189000,50.474,51.198,regular
1701192600,51.254,51.0015,regular
1701196200,50.9,51.179,regular
1701199800,51.19,50.711,regular
1701203400,50.6887,50.594,regular
1701205200,50.587,50.4,post
1701208800,50.4,50.233,post
1701212400,50.311,50.3,post
1701248400,50.8,51.184,pre
1701252000,51.007,50.99,pre
1701255600,51.0,50.912,pre
1701259200,50.912,51.05,pre
1701262800,51.09,51.126,pre
1701266400,51.126,50.825,pre
1701268200,50.798,50.388,regular
1701271800,50.249,49.9845,regular
1701275400,50.128,50.635,regular
1701279000,50.6413,51.031,regular
1701282600,51.031,51.113,regular
1701286200,51.055,50.973,regular
1701289800,50.938,50.658,regular
1701291600,50.71,50.752,post
1701295200,50.7,50.649,post
1701298800,50.657,50.7427,post
1701334800,51.0,50.877,pre
1701342000,50.842,50.71,pre
1701345600,50.91,50.899,pre
1701349200,50.984,51.0,pre
1701352800,51.1,50.25,pre
1701354600,49.8,49.434,regular
1701358200,49.474,49.4995,regular
1701361800,49.434,49.7259,regular
1701365400,49.6314,50.2978,regular
1701369000,50.3,49.9228,regular
1701372600,49.9434,49.72,regular
1701376200,49.729,49.804,regular
1701378000,49.83,49.7,post
1701381600,49.792,50.0,post
1701385200,49.85,49.8,post
1701421200,50.189,51.6,pre
1701424800,51.498,51.43,pre
1701428400,51.431,51.32,pre
1701432000,51.399,50.8,pre
1701435600,50.805,50.79,pre
1701439200,50.786,50.565,pre
1701441000,50.353,52.4,regular
1701444600,52.4,52.7,regular
1701448200,52.678,52.408,regular
1701451800,52.374,52.311,regular
1701455400,52.2055,52.147,regular
1701459000,52.0935,52.8785,regular
1701462600,52.885,52.739,regular
1701464400,52.73,52.9474,post
1701468000,52.945,52.888,post
1701471600,52.802,52.9,post
1701680400,56.521,57.185,pre
1701684000,57.205,57.4,pre
1701687600,57.37,56.884,pre
1701691200,56.849,56.826,pre
1701694800,56.805,57.167,pre
1701698400,57.001,56.443,pre
1701700200,56.7,55.866,regular
1701703800,55.8725,55.613,regular
1701707400,55.5955,56.882,regular
1701711000,56.841,55.693,regular
1701714600,55.681,56.4,regular
1701718200,56.321,56.689,regular
1701721800,56.69,56.284,regular
1701723600,56.322,56.72,post
1701727200,56.812,56.766,post
1701730800,56.666,56.725,post
1701766800,56.29,56.141,pre
1701770400,56.129,56.57,pre
1701774000,56.385,56.01,pre
1701777600,56.15,56.4,pre
1701781200,56.4,56.402,pre
1701784800,56.4,56.4,pre
1701786600,56.6,57.001,regular
1701790200,57.205,57.2895,regular
1701793800,57.425,58.249,regular
1701797400,58.2935,58.3155,regular
1701801000,58.308,58.252,regular
1701804600,58.272,57.5785,regular
1701808200,57.537,57.76,regular
1701810000,57.75,57.997,post
1701813600,58.1,58.35,post
1701817200,58.35,58.251,post
1701853200,58.47,58.386,pre
1701856800,58.384,58.913,pre
1701860400,58.896,58.35,pre
1701864000,58.22,58.25,pre
1701867600,58.115,58.289,pre
1701871200,58.2,58.373,pre
1701873000,58.512,57.182,regular
1701876600,57.163,57.809,regular
1701880200,57.89,57.6925,regular
1701883800,57.6003,56.7585,regular
1701887400,56.8036,57.2265,regular
1701891000,57.2265,56.9,regular
1701894600,56.869,56.894,regular
1701896400,56.8885,56.815,post
1701900000,56.887,56.8,post
1701903600,56.601,56.601,post
1701939600,56.7,55.8,pre
1701943200,55.95,55.805,pre
1701946800,55.899,55.802,pre
1701950400,55.9,55.5,pre
1701954000,55.55,55.8,pre
1701957600,55.8,55.795,pre
1701959400,55.72,57.788,regular
1701963000,57.737,56.815,regular
1701966600,56.8822,57.093,regular
1701970200,57.12,56.7465,regular
1701973800,56.7945,56.338,regular
1701977400,56.243,56.664,regular
1701981000,56.692,57.092,regular
1701982800,57.109,56.8,post
1701986400,57.099,56.85,post
1701990000,56.9,57.0,post
1702026000,57.8,57.2,pre
1702033200,57.232,57.253,pre
1702036800,57.5,57.583,pre
1702040400,57.669,57.9,pre
1702044000,57.726,57.245,pre
1702045800,57.348,59.5765,regular
1702049400,59.5765,59.255,regular
1702053000,59.359,59.0043,regular
1702056600,59.005,59.121,regular
1702060200,59.025,59.2355,regular
1702063800,59.353,59.3485,regular
1702067400,59.322,59.9275,regular
1702069200,59.939,60.1,post
1702072800,59.8002,60.0,post
1702076400,59.94,60.14,post
1702285200,57.5,57.798,pre
1702288800,57.789,57.825,pre
1702292400,57.979,57.8,pre
1702296000,57.611,58.047,pre
1702299600,57.972,57.881,pre
1702303200,57.791,57.513,pre
1702305000,57.411,56.599,regular
1702308600,56.531,56.193,regular
1702312200,56.227,56.105,regular
1702315800,56.201,54.9325,regular
1702319400,54.98,55.1,regular
1702323000,55.132,55.418,regular
1702326600,55.497,55.562,regular
1702328400,55.58,55.999,post
1702332000,55.9,55.9,post
1702335600,55.85,55.825,post
1702371600,56.684,56.551,pre
1702375200,56.686,56.677,pre
1702378800,56.87,56.675,pre
1702382400,56.703,56.811,pre
1702386000,56.739,56.6,pre
1702389600,56.7,56.301,pre
1702391400,56.0,55.4285,regular
1702395000,55.447,55.5,regular
1702398600,55.551,55.138,regular
1702402200,55.148,55.7615,regular
1702405800,55.68,55.458,regular
1702409400,55.309,55.907,regular
1702413000,55.865,55.829,regular
1702414800,55.832,55.687,post
1702418400,55.687,55.871,post
1702422000,55.848,56.03,post
1702458000,55.75,55.5,pre
1702461600,55.45,55.54,pre
1702465200,55.54,55.54,pre
1702468800,55.4,55.68,pre
1702472400,55.605,55.845,pre
1702476000,55.8,55.85,pre
1702477800,55.759,56.092,regular
1702481400,56.1265,56.687,regular
1702485000,56.644,56.384,regular
1702488600,56.332,56.4495,regular
1702492200,56.312,57.3735,regular
1702495800,57.283,58.006,regular
1702499400,58.118,58.578,regular
1702501200,58.6,58.652,post
1702504800,58.87,59.097,post
1702508400,59.049,58.907,post
1702544400,59.16,59.039,pre
1702548000,59.039,59.395,pre
1702551600,59.247,59.061,pre
1702555200,59.249,59.489,pre
1702558800,59.387,58.611,pre
1702562400,58.623,58.5273,pre
1702564200,58.8,57.592,regular
1702567800,57.637,58.072,regular
1702571400,58.006,58.771,regular
1702575000,58.772,58.49,regular
1702578600,58.3625,58.439,regular
1702582200,58.414,58.486,regular
1702585800,58.4325,58.228,regular
1702587600,58.237,58.188,post
1702591200,58.188,58.355,post
1702594800,58.355,58.323,post
1702630800,58.299,58.298,pre
1702634400,58.206,58.3,pre
1702638000,58.254,58.062,pre
1702641600,58.062,57.872,pre
1702645200,57.999,57.7,pre
1702648800,57.7,57.25,pre
1702650600,57.5,57.06,regular
1702654200,57.0,57.414,regular
1702657800,57.414,57.201,regular
1702661400,57.2015,57.024,regular
1702665000,57.0945,56.77,regular
1702668600,56.95,57.054,regular
1702672200,57.091,56.997,regular
1702674000,57.041,57.05,post
1702677600,57.07,57.099,post
1702681200,57.028,57.04,post
1702890000,55.9,55.4,pre
1702893600,55.4,55.05,pre
1702897200,55.05,55.273,pre
1702900800,55.301,55.47,pre
1702904400,55.403,55.8608,pre
1702908000,55.632,55.95,pre
1702909800,56.11,56.308,regular
1702913400,56.266,56.3065,regular
1702917000,56.2653,56.6,regular
1702920600,56.664,56.982,regular
1702924200,57.119,57.34,regular
1702927800,57.3485,57.3775,regular
1702931400,57.4095,57.181,regular
1702933200,57.19,58.153,post
1702936800,58.164,58.0,post
1702940400,58.046,57.71,post
1702976400,58.129,58.673,pre
1702980000,58.65,58.5,pre
1702983600,58.556,58.698,pre
1702987200,58.701,58.2,pre
1702990800,58.203,58.287,pre
1702994400,58.255,57.701,pre
1702996200,58.35,58.8,regular
1702999800,58.82,58.058,regular
1703003400,58.045,56.836,regular
1703007000,56.835,57.1855,regular
1703010600,57.2202,57.236,regular
1703014200,57.293,57.272,regular
1703017800,57.336,57.078,regular
1703019600,57.13,57.222,post
1703023200,57.222,57.35,post
1703026800,57.3,56.98,post
1703062800,58.0,57.777,pre
1703066400,57.75,57.5,pre
1703070000,57.5,57.675,pre
1703073600,57.675,57.628,pre
1703077200,57.648,58.484,pre
1703080800,58.484,58.82,pre
1703082600,59.3035,59.3456,regular
1703086200,59.2333,59.072,regular
1703089800,59.012,59.055,regular
1703093400,58.9115,59.221,regular
1703097000,59.164,59.2466,regular
1703100600,59.2,57.528,regular
1703104200,57.629,57.3,regular
1703106000,57.347,57.347,post
1703109600,57.3,57.651,post
1703113200,57.652,57.6,post
1703149200,57.618,58.0,pre
1703152800,58.1,58.3,pre
1703156400,58.289,58.487,pre
1703160000,58.499,58.9,pre
1703163600,58.805,58.72,pre
1703167200,58.753,58.607,pre
1703169000,58.81,58.514,regular
1703172600,58.551,58.275,regular
1703176200,58.3005,57.8,regular
1703179800,57.9,58.064,regular
1703183400,58.11,57.818,regular
1703187000,57.83,58.186,regular
1703190600,58.239,58.163,regular
1703192400,58.195,58.496,post
1703196000,58.401,58.45,post
1703199600,58.45,58.3,post
1703235600,58.5,58.099,pre
1703239200,58.003,58.279,pre
1703242800,58.279,58.324,pre
1703246400,58.382,58.0,pre
1703250000,58.3,58.335,pre
1703253600,58.37,58.2,pre
1703255400,58.196,59.37,regular
1703259000,59.423,60.988,regular
1703262600,60.9232,61.1737,regular
1703266200,61.099,62.1008,regular
1703269800,62.1444,60.781,regular
1703273400,60.648,61.536,regular
1703277000,61.564,61.923,regular
1703278800,61.924,61.924,post
1703282400,62.0095,61.999,post
1703286000,61.998,62.331,post
1703581200,61.599,61.4,pre
1703584800,61.294,60.6,pre
1703588400,60.499,60.601,pre
1703592000,60.6,61.15,pre
1703595600,61.151,60.954,pre
1703599200,61.0,60.95,pre
1703601000,60.949,60.4725,regular
