ts,open,close,session
1697788800,41.827,42.057,pre
1697792400,42.065,41.95,pre
1697796000,41.963,41.953,pre
1697799600,41.963,42.05,pre
1697803200,42.05,41.81,pre
1697806800,41.809,41.694,pre
1697808600,41.89,41.883,regular
1697812200,41.876,41.216,regular
1697815800,41.22,41.2155,regular
1697819400,41.221,41.713,regular
1697823000,41.72,41.4975,regular
1697826600,41.494,41.495,regular
1697830200,41.493,41.374,regular
1697832000,41.377,41.2455,post
1697835600,41.251,41.179,post
1697839200,41.175,41.251,post
1697842800,41.25,41.2,post
1698048000,41.21,41.34,pre
1698051600,41.34,41.094,pre
1698055200,41.094,40.864,pre
1698058800,40.86,40.957,pre
1698062400,40.988,41.18,pre
1698066000,41.176,41.285,pre
1698067800,41.4,42.359,regular
1698071400,42.348,42.5655,regular
1698075000,42.566,42.828,regular
1698078600,42.827,42.791,regular
1698082200,42.786,42.8615,regular
1698085800,42.863,42.918,regular
1698089400,42.915,42.979,regular
1698091200,42.975,43.214,post
1698094800,43.2,43.135,post
1698098400,43.137,43.12,post
1698102000,43.13,43.271,post
1698134400,43.317,43.455,pre
1698138000,43.45,43.514,pre
1698141600,43.512,43.6,pre
1698145200,43.601,43.79,pre
1698148800,43.788,43.62,pre
1698152400,43.627,43.254,pre
1698154200,43.077,43.0127,regular
1698157800,43.01,43.034,regular
1698161400,43.021,42.914,regular
1698165000,42.912,43.111,regular
1698168600,43.114,43.226,regular
1698172200,43.228,43.546,regular
1698175800,43.554,43.663,regular
1698177600,43.663,43.599,post
1698181200,43.586,43.589,post
1698184800,43.615,43.65,post
1698188400,43.653,43.69,post
1698220800,43.388,43.444,pre
1698224400,43.445,43.44,pre
1698228000,43.436,43.474,pre
1698231600,43.477,43.531,pre
1698235200,43.531,43.38,pre
1698238800,43.373,43.3095,pre
1698240600,43.398,43.3465,regular
1698244200,43.352,42.909,regular
1698247800,42.899,42.5308,regular
1698251400,42.53,42.0248,regular
1698255000,42.017,41.998,regular
1698258600,41.99,41.855,regular
1698262200,41.856,41.761,regular
1698264000,41.761,41.355,post
1698267600,41.355,41.18,post
1698271200,41.21,40.99,post
1698274800,40.995,40.99,post
1698307200,40.877,41.04,pre
1698310800,41.039,41.12,pre
1698314400,41.12,41.168,pre
1698318000,41.168,40.929,pre
1698321600,40.951,41.02,pre
1698325200,41.0325,41.644,pre
1698327000,41.853,41.017,regular
1698330600,41.0255,40.413,regular
1698334200,40.4215,40.243,regular
1698337800,40.2395,40.082,regular
1698341400,40.083,40.568,regular
1698345000,40.5605,40.737,regular
1698348600,40.729,40.2745,regular
1698350400,40.265,40.2,post
1698354000,40.15,40.401,post
1698357600,40.403,40.71,post
1698361200,40.71,40.91,post
1698393600,41.0,40.894,pre
1698397200,40.89,40.966,pre
1698400800,40.98,41.061,pre
1698404400,41.055,40.857,pre
1698408000,40.857,40.912,pre
1698411600,40.911,40.985,pre
1698413400,41.13,40.716,regular
1698417000,40.719,40.9575,regular
1698420600,40.967,40.768,regular
1698424200,40.772,40.493,regular
1698427800,40.489,40.12,regular
1698431400,40.1259,40.356,regular
1698435000,40.364,40.505,regular
1698436800,40.5025,40.468,post
1698440400,40.473,40.595,post
1698444000,40.594,40.601,post
1698447600,40.617,40.56,post
1698652800,40.712,40.98,pre
1698656400,40.98,41.09,pre
1698660000,41.099,40.992,pre
1698663600,40.994,40.972,pre
1698667200,40.973,40.9445,pre
1698670800,40.94,40.827,pre
1698672600,41.087,40.953,regular
1698676200,40.942,40.734,regular
1698679800,40.74,40.7,regular
1698683400,40.6949,40.861,regular
1698687000,40.87,41.094,regular
1698690600,41.0935,41.36,regular
1698694200,41.362,41.159,regular
1698696000,41.161,41.01,post
1698699600,41.005,41.0,post
1698703200,41.01,40.9615,post
1698706800,40.973,41.0025,post
1698739200,40.6,40.816,pre
1698742800,40.799,40.813,pre
1698746400,40.82,40.929,pre
1698750000,40.929,41.05,pre
1698753600,41.05,40.8,pre
1698757200,40.8,40.5285,pre
1698759000,40.45,39.8869,regular
1698762600,39.887,40.145,regular
1698766200,40.149,40.1855,regular
1698769800,40.19,40.245,regular
1698773400,40.255,40.42,regular
1698777000,40.417,40.798,regular
1698780600,40.799,40.782,regular
1698782400,40.771,40.4948,post
1698786000,40.48,40.67,post
1698789600,40.645,40.538,post
1698793200,40.527,40.51,post
1698825600,40.639,40.51,pre
1698829200,40.491,40.46,pre
1698832800,40.45,40.458,pre
1698836400,40.458,40.489,pre
1698840000,40.49,40.557,pre
1698843600,40.571,40.67,pre
1698845400,40.884,41.6,regular
1698849000,41.6,41.812,regular
1698852600,41.808,41.714,regular
1698856200,41.713,41.657,regular
