ts,open,close,session
1697788800,358.64,359.55,pre
1697792400,359.55,358.9,pre
1697796000,358.82,358.7,pre
1697799600,358.67,359.18,pre
1697803200,359.15,358.2183,pre
1697806800,358.24,358.75,pre
1697808600,359.46,357.115,regular
1697812200,357.1,354.97,regular
1697815800,355.0,355.71,regular
1697819400,355.71,357.4194,regular
1697823000,357.43,355.77,regular
1697826600,355.74,355.47,regular
1697830200,355.4899,354.62,regular
1697832000,354.6,354.35,post
1697835600,354.35,354.245,post
1697839200,354.245,354.2,post
1697842800,354.2,353.985,post
1698048000,354.12,354.5,pre
1698051600,354.39,352.85,pre
1698055200,352.9,351.93,pre
1698058800,351.97,352.67,pre
1698062400,352.74,353.34,pre
1698066000,353.35,353.3,pre
1698067800,353.75,354.79,regular
1698071400,354.78,356.57,regular
1698075000,356.57,357.575,regular
1698078600,357.6,357.79,regular
1698082200,357.8,357.5301,regular
1698085800,357.57,356.45,regular
1698089400,356.46,355.68,regular
1698091200,355.68,356.67,post
1698094800,356.665,356.7,post
1698098400,356.69,356.67,post
1698102000,356.66,357.0501,post
1698134400,354.8,357.29,pre
1698138000,357.25,357.88,pre
1698141600,357.86,357.69,pre
1698145200,357.66,358.45,pre
1698148800,358.44,358.08,pre
1698152400,358.08,357.69,pre
1698154200,357.51,359.1995,regular
1698157800,359.19,358.08,regular
1698161400,358.09,356.67,regular
1698165000,356.67,357.41,regular
1698168600,357.41,358.215,regular
1698172200,358.22,359.29,regular
1698175800,359.3,359.18,regular
1698177600,359.19,358.75,post
1698181200,358.7,358.68,post
1698184800,358.64,358.33,post
1698188400,358.27,358.36,post
1698220800,356.73,357.2,pre
1698224400,357.25,357.1,pre
1698228000,357.12,357.16,pre
1698231600,357.13,357.56,pre
1698235200,357.54,357.53,pre
1698238800,357.53,356.94,pre
1698240600,356.7,353.6,regular
1698244200,353.58,354.23,regular
1698247800,354.23,352.81,regular
1698251400,352.78,351.0465,regular
1698255000,351.05,350.55,regular
1698258600,350.54,350.6,regular
1698262200,350.59,350.3,regular
1698264000,350.34,350.05,post
1698267600,350.05,349.1,post
1698271200,349.1,347.71,post
1698274800,347.75,347.17,post
1698307200,347.73,346.71,pre
1698310800,346.79,347.44,pre
1698314400,347.35,347.58,pre
1698318000,347.6,346.74,pre
1698321600,346.69,347.54,pre
1698325200,347.44,349.12,pre
1698327000,349.12,346.63,regular
1698330600,346.63,345.18,regular
1698334200,345.19,343.61,regular
1698337800,343.62,342.84,regular
1698341400,342.85,345.1901,regular
1698345000,345.1941,345.35,regular
1698348600,345.36,343.66,regular
1698350400,343.66,344.05,post
1698354000,344.03,344.9,post
1698357600,344.9,345.985,post
1698361200,345.97,346.62,post
1698393600,346.42,346.68,pre
1698397200,346.64,346.91,pre
1698400800,346.92,346.92,pre
1698404400,346.9,346.09,pre
1698408000,346.07,346.2,pre
1698411600,346.2,346.5,pre
1698413400,346.43,346.91,regular
1698417000,346.89,348.4004,regular
1698420600,348.41,347.09,regular
1698424200,347.14,345.23,regular
1698427800,345.21,344.52,regular
1698431400,344.53,345.19,regular
1698435000,345.2075,345.4001,regular
1698436800,345.41,345.52,post
1698440400,345.48,345.5,post
1698444000,345.48,345.57,post
1698447600,345.57,345.43,post
1698652800,346.35,347.86,pre
1698656400,347.81,348.21,pre
1698660000,348.24,347.94,pre
1698663600,347.94,347.9,pre
1698667200,347.95,347.8399,pre
1698670800,347.83,347.49,pre
1698672600,347.83,347.28,regular
