ts,open,close,session
1697788800,425.78,426.32,pre
1697792400,426.33,425.51,pre
1697796000,425.53,425.22,pre
1697799600,425.22,425.85,pre
1697803200,425.8,424.715,pre
1697806800,424.72,425.37,pre
1697808600,425.98,423.37,regular
1697812200,423.35,422.29,regular
1697815800,422.3,422.98,regular
1697819400,422.99,424.1801,regular
1697823000,424.19,422.61,regular
1697826600,422.51,422.34,regular
1697830200,422.33,421.2,regular
1697832000,421.21,420.9,post
1697835600,420.9,420.92,post
1697839200,420.88,420.87,post
1697842800,420.84,420.58,post
1698048000,422.3,420.93,pre
1698051600,420.9,419.26,pre
1698055200,419.25,418.6,pre
1698058800,418.61,419.15,pre
1698062400,419.17,419.8,pre
1698066000,419.76,419.5,pre
1698067800,419.875,420.825,regular
1698071400,420.81,422.39,regular
1698075000,422.4,422.81,regular
1698078600,422.84,422.88,regular
1698082200,422.88,422.42,regular
1698085800,422.42,421.05,regular
1698089400,421.06,420.46,regular
1698091200,420.45,421.4495,post
1698094800,421.42,421.53,post
1698098400,421.52,421.58,post
1698102000,421.535,421.81,post
1698134400,421.93,421.8,pre
1698138000,421.76,422.5,pre
1698141600,422.54,422.41,pre
1698145200,422.44,423.22,pre
1698148800,423.2,423.055,pre
1698152400,423.04,422.9,pre
1698154200,422.65,424.43,regular
1698157800,424.42,422.96,regular
1698161400,422.965,421.56,regular
1698165000,421.5799,422.1399,regular
1698168600,422.15,422.96,regular
1698172200,422.96,424.0502,regular
1698175800,424.05,423.62,regular
1698177600,423.61,423.54,post
1698181200,423.44,423.175,post
1698184800,423.28,423.2094,post
1698188400,423.18,423.24,post
1698220800,422.24,422.29,pre
1698224400,422.32,422.26,pre
1698228000,422.29,422.13,pre
1698231600,422.16,422.57,pre
1698235200,422.53,422.655,pre
1698238800,422.67,422.07,pre
1698240600,421.89,419.3095,regular
1698244200,419.3,420.91,regular
1698247800,420.91,419.21,regular
1698251400,419.21,417.9371,regular
1698255000,417.93,417.735,regular
1698258600,417.7399,417.9499,regular
1698262200,417.945,417.62,regular
1698264000,417.61,417.72,post
1698267600,417.74,417.18,post
1698271200,417.15,416.08,post
1698274800,416.12,415.72,post
1698307200,414.88,414.86,pre
1698310800,415.0,415.63,pre
1698314400,415.63,415.6,pre
1698318000,415.63,414.4,pre
1698321600,414.37,415.13,pre
1698325200,415.03,416.91,pre
1698327000,416.45,415.4,regular
1698330600,415.4,414.38,regular
1698334200,414.38,413.0091,regular
1698337800,413.0,412.24,regular
1698341400,412.25,414.21,regular
1698345000,414.215,414.19,regular
1698348600,414.19,412.59,regular
1698350400,412.58,412.87,post
1698354000,412.85,413.675,post
1698357600,413.6,414.35,post
1698361200,414.35,414.83,post
1698393600,414.5,414.89,pre
1698397200,414.94,414.84,pre
1698400800,414.87,414.79,pre
1698404400,414.66,413.57,pre
1698408000,413.54,413.99,pre
1698411600,414.0,414.3,pre
1698413400,414.19,412.98,regular
1698417000,412.99,413.94,regular
1698420600,413.95,412.52,regular
1698424200,412.53,410.765,regular
1698427800,410.77,409.82,regular
1698431400,409.83,410.41,regular
1698435000,410.405,410.74,regular
1698436800,410.74,410.62,post
1698440400,410.6186,410.65,post
1698444000,410.67,411.085,post
1698447600,411.08,410.4,post
1698652800,412.99,413.22,pre
1698656400,413.17,413.4,pre
1698660000,413.38,413.18,pre
1698663600,413.2,413.2,pre
1698667200,413.21,413.13,pre
1698670800,413.15,413.28,pre
1698672600,413.56,412.99,regular
1698676200,412.99,412.93,regular
1698679800,412.955,413.345,regular
1698683400,413.35,415.03,regular
1698687000,415.04,415.27,regular
1698690600,415.27,416.22,regular
1698694200,416.23,415.59,regular
1698696000,415.59,415.4,post
1698699600,415.3767,415.34,post
1698703200,415.34,415.32,post
1698706800,415.31,415.15,post
1698739200,414.7,415.27,pre
1698742800,415.29,415.63,pre
1698746400,415.66,416.47,pre
1698750000,416.47,416.82,pre
1698753600,416.82,416.79,pre
1698757200,416.77,415.99,pre
1698759000,416.18,415.745,regular
1698762600,415.74,415.71,regular
1698766200,415.735,415.91,regular
1698769800,415.92,416.97,regular
1698773400,416.98,417.08,regular
1698777000,417.09,418.242,regular
1698780600,418.255,418.23,regular
1698782400,418.23,417.4,post
1698786000,417.45,417.5,post
1698789600,417.58,417.52,post
1698793200,417.52,417.28,post
1698825600,417.5,416.99,pre
1698829200,416.97,416.77,pre
1698832800,416.77,416.68,pre
1698836400,416.68,416.57,pre
1698840000,416.56,417.05,pre
1698843600,417.05,418.65,pre
1698845400,419.2,421.165,regular
1698849000,421.16,420.39,regular
1698852600,420.39,420.02,regular
1698856200,420.02,419.82,regular
1698859800,419.81,420.4,regular
1698863400,420.42,422.83,regular
1698867000,422.82,422.7,regular
1698868800,422.7,422.84,post
1698872400,422.83,422.97,post
1698876000,422.97,423.05,post
1698879600,423.05,423.62,post
1698912000,423.92,424.69,pre
1698915600,424.65,425.1,pre
1698919200,425.1,424.71,pre
1698922800,424.7,425.09,pre
1698926400,425.1,425.85,pre
1698930000,425.85,426.605,pre
1698931800,426.58,428.22,regular
1698935400,428.225,428.69,regular
1698939000,428.68,428.73,regular
1698942600,428.74,429.62,regular
1698946200,429.64,430.1409,regular
1698949800,430.1699,430.265,regular
1698953400,430.26,430.75,regular
1698955200,430.75,430.45,post
1698958800,430.44,429.71,post
1698962400,429.71,430.04,post
1698966000,430.02,429.91,post
1698998400,430.09,430.1,pre
1699002000,430.06,429.91,pre
1699005600,429.95,430.12,pre
1699009200,430.13,430.28,pre
1699012800,430.25,430.39,pre
1699016400,430.55,432.75,pre
1699018200,433.14,433.86,regular
