ts,open,close,session
1697788800,217.88,218.75,pre
1697792400,218.76,219.61,pre
1697796000,219.56,218.94,pre
1697799600,218.95,217.95,pre
1697803200,217.95,217.81,pre
1697806800,217.81,216.7,pre
1697808600,217.01,215.1694,regular
1697812200,215.1521,211.6399,regular
1697815800,211.64,212.4799,regular
1697819400,212.48,215.352,regular
1697823000,215.38,211.91,regular
1697826600,211.88,212.8192,regular
1697830200,212.81,211.93,regular
1697832000,212.12,212.06,post
1697835600,212.06,212.47,post
1697839200,212.465,212.325,post
1697842800,212.35,212.7505,post
1698048000,213.0,212.77,pre
1698051600,212.76,208.93,pre
1698055200,209.02,208.83,pre
1698058800,208.85,209.0,pre
1698062400,208.99,209.88,pre
1698066000,209.91,210.04,pre
1698067800,210.0,209.6499,regular
1698071400,209.66,215.35,regular
1698075000,215.33,214.64,regular
1698078600,214.65,213.6399,regular
1698082200,213.61,213.8,regular
1698085800,213.81,211.89,regular
1698089400,211.87,212.03,regular
1698091200,212.03,212.35,post
1698094800,212.38,212.55,post
1698098400,212.6,212.8,post
1698102000,212.8,214.1,post
1698134400,215.38,215.67,pre
1698138000,215.66,216.25,pre
1698141600,216.28,216.47,pre
1698145200,216.5,217.78,pre
1698148800,217.8,217.14,pre
1698152400,217.13,216.43,pre
1698154200,216.5,220.3863,regular
1698157800,220.36,216.495,regular
1698161400,216.48,215.54,regular
1698165000,215.55,217.705,regular
1698168600,217.665,216.8739,regular
1698172200,216.885,216.03,regular
1698175800,216.05,216.56,regular
1698177600,216.55,216.17,post
1698181200,216.08,215.7525,post
1698184800,215.75,216.08,post
1698188400,216.05,216.05,post
1698220800,215.0,215.65,pre
1698224400,215.66,215.26,pre
1698228000,215.26,215.42,pre
1698231600,215.43,216.43,pre
1698235200,216.41,216.065,pre
1698238800,216.04,215.75,pre
1698240600,215.88,217.055,regular
1698244200,217.1,218.6701,regular
1698247800,218.7099,216.7254,regular
1698251400,216.7176,214.49,regular
1698255000,214.47,214.8049,regular
1698258600,214.8,213.266,regular
1698262200,213.27,212.4,regular
1698264000,212.38,211.45,post
1698267600,211.45,210.3,post
1698271200,210.3,208.835,post
1698274800,208.9,207.73,post
1698307200,207.49,207.73,pre
1698310800,207.73,207.31,pre
1698314400,207.33,207.54,pre
1698318000,207.54,206.9,pre
1698321600,206.9,208.09,pre
1698325200,208.0,210.42,pre
1698327000,211.32,210.98,regular
1698330600,210.945,208.8224,regular
1698334200,208.84,206.3899,regular
1698337800,206.39,205.842,regular
1698341400,205.83,207.55,regular
1698345000,207.5201,207.77,regular
1698348600,207.75,205.67,regular
1698350400,205.76,204.48,post
1698354000,204.48,206.4,post
1698357600,206.39,207.595,post
1698361200,207.54,208.33,post
1698393600,209.5,209.37,pre
1698397200,209.38,210.67,pre
1698400800,210.68,210.88,pre
1698404400,210.84,208.74,pre
1698408000,208.74,209.385,pre
1698411600,209.37,210.41,pre
1698413400,210.6,208.5,regular
1698417000,208.525,210.07,regular
1698420600,210.08,208.8,regular
1698424200,208.83,208.09,regular
1698427800,208.085,206.125,regular
1698431400,206.1599,207.38,regular
1698435000,207.35,207.3299,regular
1698436800,207.32,207.4,post
1698440400,207.48,207.4,post
1698444000,207.48,207.65,post
1698447600,207.64,207.68,post
1698652800,209.21,210.4,pre
1698656400,210.4,210.06,pre
1698660000,210.06,209.62,pre
1698663600,209.66,209.71,pre
1698667200,209.77,209.69,pre
1698670800,209.69,209.9,pre
1698672600,209.28,201.44,regular
1698676200,201.45,198.3399,regular
1698679800,198.3163,198.2056,regular
1698683400,198.2,196.585,regular
1698687000,196.6181,195.7801,regular
1698690600,195.785,198.1018,regular
1698694200,198.1,197.27,regular
1698696000,197.28,196.93,post
1698699600,196.95,196.58,post
1698703200,196.56,196.29,post
1698706800,196.3,196.1,post
1698739200,195.6,194.62,pre
1698742800,194.62,194.93,pre
1698746400,194.89,194.66,pre
1698750000,194.68,194.85,pre
1698753600,194.88,195.365,pre
1698757200,195.3765,195.76,pre
1698759000,196.12,199.17,regular
1698762600,199.2167,196.55,regular
1698766200,196.57,197.69,regular
1698769800,197.7145,199.75,regular
1698773400,199.74,201.0333,regular
1698777000,201.0699,201.695,regular
1698780600,201.7,200.83,regular
1698782400,200.78,199.99,post
1698786000,199.99,200.4,post
1698789600,200.4,200.548,post
1698793200,200.54,200.3,post
1698825600,201.73,201.36,pre
1698829200,201.45,202.31,pre
1698832800,202.35,201.95,pre
1698836400,201.95,201.64,pre
1698840000,201.62,202.104,pre
1698843600,202.14,204.41,pre
1698845400,204.04,201.5301,regular
1698849000,201.5414,198.8701,regular
1698852600,198.87,201.33,regular
1698856200,201.336,201.0795,regular
1698859800,201.0696,201.25,regular
1698863400,201.2103,204.16,regular
1698867000,204.14,205.7,regular
1698868800,205.69,206.8,post
1698872400,206.79,207.06,post
1698876000,207.1,206.97,post
1698879600,207.04,208.0,post
1698912000,208.39,209.4,pre
1698915600,209.4,210.29,pre
1698919200,210.28,211.63,pre
1698922800,211.65,211.48,pre
1698926400,211.49,213.1,pre
1698930000,213.1,213.85,pre
1698931800,212.97,216.4308,regular
1698935400,216.446,216.1388,regular
1698939000,216.1214,216.9842,regular
1698942600,216.97,216.94,regular
1698946200,216.95,218.2397,regular
1698949800,218.24,217.6901,regular
1698953400,217.685,218.53,regular
1698955200,218.55,216.67,post
1698958800,216.67,215.0,post
1698962400,215.0,216.3,post
1698966000,216.21,217.1,post
1698998400,217.15,216.69,pre
1699002000,216.68,216.16,pre
1699005600,216.17,216.89,pre
1699009200,216.89,216.72,pre
1699012800,216.7,218.17,pre
1699016400,218.3,221.85,pre
1699018200,221.15,222.62,regular
1699021800,222.5935,219.99,regular
1699025400,220.03,220.96,regular
1699029000,220.9699,219.3332,regular
1699032600,219.34,220.1775,regular
1699036200,220.18,219.4007,regular
1699039800,219.4,219.95,regular
1699041600,219.92,219.555,post
1699045200,219.7,220.07,post
1699048800,220.07,220.06,post
1699052400,220.06,220.06,post
1699261200,226.05,225.78,pre
1699264800,225.74,225.75,pre
1699268400,225.75,224.21,pre
1699272000,224.23,223.46,pre
1699275600,223.47,223.46,pre
1699279200,223.46,223.27,pre
1699281000,223.98,221.12,regular
1699284600,221.16,220.48,regular
1699288200,220.47,217.57,regular
1699291800,217.59,215.81,regular
1699295400,215.8299,217.225,regular
1699299000,217.22,219.3,regular
1699302600,219.31,219.32,regular
1699304400,219.3,218.705,post
1699308000,218.7,218.28,post
1699311600,218.21,218.37,post
1699347600,218.53,217.37,pre
1699351200,217.37,217.33,pre
1699354800,217.32,217.34,pre
1699358400,217.37,218.07,pre
1699362000,218.12,217.96,pre
1699365600,217.96,219.07,pre
1699367400,219.98,217.1552,regular
1699371000,217.14,218.662,regular
1699374600,218.66,218.06,regular
1699378200,218.06,219.2375,regular
1699381800,219.2652,221.97,regular
1699385400,221.9873,222.6689,regular
1699389000,222.65,222.27,regular
1699390800,222.27,221.73,post
1699394400,221.76,221.975,post
1699398000,221.96,221.6899,post
1699434000,221.67,221.23,pre
1699437600,221.14,221.45,pre
1699441200,221.41,222.05,pre
1699444800,222.05,223.08,pre
1699448400,223.1,222.17,pre
1699452000,222.16,223.02,pre
1699453800,223.15,218.26,regular
1699457400,218.2899,220.4603,regular
1699461000,220.45,218.38,regular
1699464600,218.41,219.99,regular
1699468200,220.0,220.95,regular
1699471800,220.9598,221.94,regular
1699475400,221.94,222.1,regular
1699477200,222.14,220.85,post
1699480800,220.8,221.08,post
1699484400,221.03,220.925,post
1699520400,220.6,220.48,pre
1699524000,220.46,220.84,pre
1699527600,220.81,219.9,pre
1699531200,219.92,219.66,pre
1699534800,219.69,220.15,pre
1699538400,220.13,219.98,pre
1699540200,219.75,213.9801,regular
1699543800,213.98,213.325,regular
1699547400,213.34,209.6363,regular
1699551000,209.605,209.105,regular
1699554600,209.09,209.0,regular
1699558200,208.9701,208.1301,regular
1699561800,208.165,209.94,regular
1699563600,209.96,208.97,post
1699567200,209.08,208.6,post
1699570800,208.6,208.35,post
1699606800,209.68,205.79,pre
1699610400,205.77,206.95,pre
1699614000,206.95,206.9,pre
1699617600,206.88,208.18,pre
1699621200,208.16,208.9,pre
1699624800,208.87,210.17,pre
1699626600,209.0,207.0999,regular
